Words,Counts
australia,4688
australian,1598
sydney,1450
pdf,1278
nsw,1072
is,912
research,875
health,868
melbourne,851
what,764
a,685
victoria,667
housing,648
how,628
population,605
care,576
qualitative,556
act,547
election,501
aboriginal,481
